Symbol,Pt1,Pt2,Pt4,Pt5,Pt6,Pt7,Pt8,Pt9,Pt10,Pt12,Pt13,Pt14,Pt15,Pt19,Pt20,Pt22,Pt23,Pt25,Pt27A,Pt27B,Pt28,Pt29
ANAPC15,946.02,351.28,1112.29,1280.49,325.55,366.15,327.48,595.13,915.1,305.45,606.48,1801.4,898.77,230.85,441.54,942.95,909.96,1343.72,601.75,405.43,741.11,643.25
ANAPC16,4888,3614,2975,5427,3917,1824,1110,3316,2326,2565,2011,3501,3358,1240,2444,3133,3007,1816,4722,4648,2167,4160
ANAPC1P1,2.05,2.03,0,0,1.03,0,0,0,2.06,0,13.19,2.04,1.01,1.01,6.06,1.02,2.05,2.02,0,0,0,1.02
ANAPC2,1064,601,1739,1037,1858,1130,485,1470,1707,799,1781,2464,1043,1223,761,1797,953,911,1101,1138,895,1440
ANAPC4,1435,742,731,1215,927,1008,660,1576,691,1242,1164,1847,1256,189,942,923,1276,510,1219,1377,632,971
ANAPC5,4627,5185,3622,7414,5791,3055,3175,7963,7091,7051,4472,9920,7841,1806,3688,5093,5187,3313,6671,6296,3369,4502
ANAPC7,2077,1518,2354,1987,2340,1481,919,2172,3791,3213,1810,4401,1813,765,1329,1875,2675,1877,2139,1927,2085,2060
ANG,285.09,8219.95,389.31,602.51,373.66,246.27,79.7,268.17,276.05,142.38,456.27,122.96,131.72,280.8,815.21,281.14,252.94,182.43,180.08,97.91,139.12,358.11
ANGEL1,1236,1323,3029,1529,2769,478,311,2594,924,1219,1502,1285,955,848,651,1532,677,369,1496,1574,429,593.12
ANGEL2,1802,1296,1702,2125,1354,1364,471,1708,1934,1178,1308,2332,1194,415,1264,1264,658,771,890,938,545,1185
ANGPT1,174,28,512,345,113,69,454,808,13801,1920,4452,1552,442,9,482,712,271,27,378,398,62,343
ANGPT2,1461,69,950,227,177,549,463,413,2166,284,886,1832,193,39,96,2713,1737,167,320,138,227,219
ANGPT4,2,0,0,1,2,0,0,2,5,4,0,0,0,1,0,8,2,2,4,0,0,0
ANGPTL1,378,86,17,25,22,134,69,200,128,165,96,165,38,15,19,797,32,15,66,29,23,49
ANGPTL2,12061,299,1017,465,17626,2168,801,3192,6166,5430,3934,3976,321,1488,321,7275,3798,329,1660,1187,1612,1008
ANGPTL3,2,6382,0,0,0,3,0,12,0,3,2,1,5,0,1,2,1,0,0,1,91,4
ANGPTL4,1342,1004,123,35,1104,397,720,826,2627,5791,4996,4558,524,73,74,890,577,324,568,115,4752,134
ANGPTL5,31,0,3,0,0,1,1,98,3,0,1,62,3,3,0,24,1,4,4,0,1,13
ANGPTL6,42.59,216.44,8.75,195.62,13.03,32.21,3.75,28.74,25.87,14.17,74.39,21.15,35.08,46.51,29.27,22.29,34.42,44.52,33.35,22.74,19.49,36.13
ANGPTL7,617,134,197,213,2,2,29,139,866,12,51389,1,2,3,2,89,73,7,1,5,13,0
ANHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANK1,152,11,44,1,18,352,9,87,49,12,25,189,21,76,29,122,21,36,40,21,25,68
ANK2,16025,1251,731,13188,2169,1728,1581,3916,2873,802,3038,281,571,435,927,1734,485,277,4111,4622,79,2483
ANK3,133,131,63,20,752,12,40,326,3698,13,125,4542,98,38,51,95,22,12,63,23,1898,681
ANKAR,91,60,33,1,25,11,24,83,164,28,34,51,18,13,35,52,32,3,30,36,16,29
ANKDD1A,337,154,148,128,260,459,350,654,308,232,712,220,126,180,399,466,242,158,737,827,55,598
ANKDD1B,3,1,2,0,3,0,0,3,4,0,11,2,1,0,3,4,2,0,4,1,3,7
ANKEF1,46,83,113,24,180,151,68,28,29,15,52,290,295,7,29,133,28,27,43,22,328,232
ANKFN1,0,0,0,6,58,0,3,0,5,10,0,37,5,0,0,1,1,1,1,0,2,1
ANKFY1,4565,1720,3002,5697,6426,2729,1411,4618,4100,3489,5163,4140,2094,1132,2020,4117,3203,1999,3620,3510,1689,3351
ANKH,6206.56,1538.8,887,337,6896.92,825,1298,2336,21642.77,5644.93,10442.95,5600.13,540,684,987,3182,4047,997,1050.58,1003.48,1429,2644
ANKHD1,5751.28,2487.28,5607.63,4085.57,6494.73,2719.72,878.47,5623.69,4739.61,2731.05,4820.42,5617.12,3266.67,898.43,2197.21,4957.5,2807.2,2548.47,7038.64,7939.98,2129.41,4082.74
ANKHD1-EIF4EBP3,2818.81,1175.11,1609.34,2174.34,4002.27,434.71,339.04,960.9,3922.63,1110.29,1522.33,1156.37,393.49,162.26,368.52,1574.79,578.9,748.57,1511.61,1350.83,876.32,1093.85
ANKIB1,4639,1838,2803,2284,5902,2016,1554,5160,6462,6369,4409,4573,2855,632,1619,3468,3103,566,3373,4223,866,4617
ANKK1,1,1,3,0,0,0,12,13,9,0,0,3,4,0,5,6,3,0,2,3,89,1
ANKLE1,37,3,184,12,23,25,22,18,72,17,28,201,62,65,24,39,219,81,32,56,9,234
ANKLE2,3108,1379,2735,4353,3981,2069,1504,4004,3522,4318,2756,8009,2736,1015,1344,2798,2991,1598,3369,3305,3073,2486
ANKMY1,522,173,300,205,323,90,95,182,718,138,207,168,99,180,64,258,166,148,229,186,102,132
ANKMY2,1311,575,1782,1100,1395,1451,756,1564,1742,1783,1015,1311,1100,253,675,1033,814,422,1086,1285,292,1413
ANKRA2,780,587,469,434,610,518,200,1402,788,276,666,1194,1053,109,378,450,630,399,553,606,338,532
ANKRD1,7,11,4,8,8,2,2,6,24,1,3,912,318,182,0,13,6,2,9,5,1,22
ANKRD10,4224,1996,1526,4639,4889,3881,2838,4598,1528,2070,2200,1608,2232,257,2138,1945,2829,1086,2936,3396,940,2976
ANKRD11,8416,2561,6650,9989,9502,2489,1927,4349,9328,6807,5919,7206,1803,1834,1680.12,6109,3304,1349,10317,8104,2142,3617
ANKRD12,3943,1785,668,1270,2740,2398,631,3180,2552,2931,2515,3395,1362,267,2212,3566,2150,760,7209,6851,1393,3514
ANKRD13A,2840,1711,2958,3915,1897,1170,1371,3375,2228,2016,3311,3758,1212,637,3151,3079,1635,1053,4851,5092,1985,2008
ANKRD13B,689,188,917,480,63,312,187,210,1409,305,320,734,192,548,26,247,461,349,313,280,109,235
ANKRD13C,3243,738,649,1640,1181,1603,753,2292,1649,1901,2400,2703,1626,424,1115,1537,1185,566,2072,2444,800,1250
ANKRD13D,1591,367,793,1639,1636,805,481,1219,1290,1400,1388,1429,936,1102,730,1041,914,655,737,561,908,655
ANKRD16,322,243,276,229.3,256,293,78,275.67,333.44,223.78,164,352.86,239.83,314,166,261,267,265.97,257,243,209,272.88
ANKRD17,11025,3070,4769,11936,10054,2920,2105,4762,7633,6539,6416,6152,1849,1125,2440,6173,3363,1255,8559,9134,2444,4080
ANKRD18A,4,7,21.28,0,70.88,0,0,0,5.15,0,0,0,8,1,2,5,0,0,2,0,5,23
ANKRD18B,0,1,28.72,0,80.12,0,0,0,136.85,0,4,150,1,3,1,0,5,5,2,0,17,0
ANKRD18DP,1,0,1,0,3,1,3,4,0,2,8,80,3,0,0,3,12,0,1,5,2,3
ANKRD19P,21,3,3,7,24,32,18,7,275,12,20,16,22,0,8,3,22,34,19,11,36,7
ANKRD2,11,1,1,1,1,2,0,8,8,2,5,8,0,102,1,6,5,1,5,2,9,4
ANKRD20A1,0,0,0,0,0,70.25,0.01,0,76.24,0,13.24,4.72,0,0,0,0,5.73,0,131.14,72.57,4,23.56
ANKRD20A11P,2,0,1,1,0,0,0,0,6,0,0,0,1,0,0,3,0,0,4,15,0,2
ANKRD20A12P,26,6,60,14,415,22,31,125,104,4,124,44,105,5,13,128,101,3,100,180,2,69
ANKRD20A19P,0,0,0,0,5,0,0,68,1,0,2,0,1,6,0,2,0,0,0,1,5,2
ANKRD20A2,21.35,0,0,0,8.39,12.41,0.57,0,0.17,11.91,46.16,108.63,2.8,2.67,0,0,0.35,0,66.47,77.89,0,9.02
ANKRD20A3,24.52,11.51,7.94,16.89,31.41,72.73,38.62,107.58,123.53,21.49,29.86,36.64,15.92,0,18,79.77,15.92,8,22.42,35.84,0,0
ANKRD20A4,73.13,26.49,17.06,13.11,7.21,38.61,5.81,53.42,16.06,32.6,84.73,0,17.28,13.33,0,24.23,0,0,114.98,139.69,0,37.43
ANKRD20A5P,28,7,5,44,5,18,39,9,6,0,3,87,25,8,14,15,23,2,40,54,5,28
ANKRD20A8P,7,3,0,0,2,15,6,24,19,2,2,108,4,0,0,5,4,1,18,13,0,1
ANKRD20A9P,5,0,2,1,2,1,13,19,3,0,6,11,9,2,1,6,1,0,8,12,0,5
ANKRD22,86,351,64,2,93,76.96,26,319,21,23,779,629,231,36,1025,470,587,200,1008,498,3981.51,613
ANKRD23,68,61,80,27,151,100,48,257,131,143,68,110,192,685,50,74,369,26,81,114,59,155
ANKRD24,23,83,25,34,20,11,16,20,128,20,93,13,22,41,47,40,21,39,37,23,9,40
ANKRD26,522,496,182,393,697,675,118,464,493,987,359,1444,428,103,197,399,340,145,1788,2034,196,959
ANKRD26P1,1,0,0,0,0,1,0,4,0,0,93,7,3,0,0,2,5,0,1,0,1,2
ANKRD26P3,0,0,1,0,5,0,1,2,3,0,0,0,0,0,1,0,4,0,0,0,2,9
ANKRD27,3635,915,1561,3830,603,2935,567,1783,2336,2271,1018,3605,1230,637,1052,1250,1542,1275,2500,2769,760,2960
ANKRD28,20209,3325,5626,6687,5777,4198,7403,7272,2912,3398,2909,7123,5749,1244,5548,2454,5143,1561,13719,15483,1276,5894
ANKRD29,184,24,51,9,437,25,26,152,147,32,88,467,53,11,62,171,87,19,24,16,329,60
ANKRD30A,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ANKRD30B,490,405,6,285,357,12,980,841,2,794,6,2,156,7,0,39,2186,2,5,5,6,41
ANKRD30BL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANKRD30BP2,0,0,0,2,0,0,0,0,5,2,4,0,0,0,0,0,1,1,0,0,0,0
ANKRD30BP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD31,25,8,18,0,15,8,7,86,94,7,10,3,36,0,4,0,6,3,2,1,123,22
ANKRD32,475,368,222,376,335,347,134,680,759,526,382,949,372,71,429,402,673,215,576,681,196,524
ANKRD33,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,4,0,0,0,0,0
ANKRD33B,207,43,43,12,141,15,174,50,142,37,73,634,33,26,121,327,525,151,118,72,77,100
ANKRD34A,172,83,91,28,45,25,61,126,367,660,185,294,102,104,61,56,229,75,48,32,23,42
ANKRD34B,4,12,1,1,1,84,5,1,34,1,2,1,35,3,473,2,20,67,0,0,10,10
ANKRD34C,6,0,0,1,0,0,0,4,0,0,0,3,22,0,0,11,0,0,0,0,1,0
ANKRD35,114,48,8,13,40,5,23,159,50,113,87,52,19,38,54,139,51,14,37,15,1141,57
ANKRD36,388.85,201.2,87.77,65.58,179.85,573.34,81.4,298.38,377.84,286.92,172.12,496.25,110.77,69.04,241.49,222.87,304.59,13.72,572.03,814.19,91.81,167.06
ANKRD36B,332.15,110.8,89.23,81.42,106.15,426.66,127.6,460.62,423.16,274.08,136.88,452.75,159.23,40.96,171.51,241.13,370.41,37.28,1064.97,1956.81,75.19,153.94
ANKRD36BP1,419,244,261,415,396,198,75,152,434,468,426,292,285,17,143,267,446,27,434,501,73,225
ANKRD36BP2,95,2,5,0,2,33,2,103,5,1,0,10,62,0,230,732,45,3,7,4,9,82
ANKRD37,150.71,232.61,75.3,122.15,610.35,7220.5,99.88,279.67,722.23,415.51,420.36,497.38,808.96,218.12,209.63,157.95,451.14,149.14,324.36,242.22,169.02,294.62
ANKRD39,487,474,394,585,538,513,210,950,692,660,411,506,526,805,350,446,1481,835,277,207,157,292
ANKRD40,4359,1970,4722,4083,3132,1468,1664,2348,3394,1743,3064,5869,1705,1196,1512,3296,2141,1239,5272,5035,785,2006
ANKRD42,321,94,130,300,355,67,65,449,258,137,374,532,127,25,71,201,141,61,128,151,73,169
ANKRD44,4890,980,1108,2520,1607,2136,612,2639,5949,1192,1237,1073,2395,246,2069,2035,2024,850,2965,4021,304,1523
ANKRD45,36,6,100,29,5,0,116,760,531,11,419,31,31,0,95,373,33,8,8,1,1,13
ANKRD46,930,685,953,907,1141,631,412,1383,719,645,1126,820,815,188,531,714,741,620,450,654,314,566
ANKRD49,703,311,133,374,444,388,232,893,569,268,416,817,542,60,432,556,897,902,638,764,271,596
ANKRD50,4383,743,2078,7063,2297,1177,1643,1912,2200,3648,6730,5596,824,307,1079,4854,2502,563,5864,7465,940,3156
ANKRD52,7167,2046,5246,6061,6003,1572,1992,4510,5357,3791,4964,6721,1645,7230,1461,4909,3664,1267,3385,3020,1364,2866
ANKRD53,11,3,76,7,14,22,16,45,61,4,105,42,7,26,49,44,40,124,6,3,0,2
ANKRD54,1335,469,1073,2612,525,1035,380,1812,4324,1562,1099,1451,1610,1751,987,797,1451,1041,659,585,552,1045
ANKRD55,15,34,13,2,7,2,1,5,1,0,14,7,19,0,5,10,14,4,6,7,8,11
ANKRD6,1377.8,1139.63,535.46,896.21,1645.41,493.66,431.45,460.08,2414.13,71.72,625.28,137.45,459.36,191.14,328.96,357.76,503.12,46.42,288.76,417.26,71.86,205.26
ANKRD61,24,3,15,2,16,9,5,12,22,15,13,24,22,3,4,6,10,2,21,35,4,20
ANKRD62P1-PARP4P3,0,0,0,0,2,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0
ANKRD63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD65,168,13,11,15,24,20,17,116,332,52,46,69,32,50,15,158,75,41,56,25,384,271
ANKRD66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4
ANKRD7,5,0,6,0,62,12,34,51,32,3,25,18,53,17,0,9,0,3,1,0,2,27
ANKRD9,295,202,172,237,1881,176,56,149,80,202,102,295,385,503,158,121,443,174,479,425,274,656
ANKS1A,7370,1100,7248,11687,5300,31185,739,16016,4238,18600.01,11525,2371,6264,3634,1419,3974,1729,940,3199,3265,1594,3144
ANKS1B,924.08,242.18,223.34,58.43,388.9,26.88,17.02,23.36,119.43,783.54,21.04,257.88,214.46,61.15,44.37,248.32,190.28,102.99,5.18,7.24,24.48,33.27
ANKS3,532,237,402,575,379,328,373,715,497,346,446,518,338,145,241,437,543,416,342,345,295,433
ANKS4B,0,222,0,7,0,0,0,0,2,8,0,8,2,0,0,0,0,0,0,2,5,0
ANKS6,720,423,2308,773,2053,526,583,886,1549,93,953,1754,652,438,543,782,1192,806,140,83,242,895
ANKUB1,0,0,14,1,25,2,0,0,0,0,1,0,4,8,0,3,2,0,0,0,0,2
ANKZF1,2018,515,1148,1485,1112,1428,405,998,3044,817,1025,1425,1060,732,799,979,633,559,1035,1325,773,919
ANLN,2912,324,2263,2526,1221,6910,1341,3222,8652,5678,2723,15640,3861,713,508,2307,4099,946,3815,1681,1010,3858
ANO1,2003,1002,266,174,364,952,229,791,2692,1439,815,906,188,196,160,1371,1922,124,642,592,360,976
ANO10,1717,388,1725,4379,2195,1539,732,1295,1157,728,2427,3275,1340,523,796,1122,1636,1333,1605,1517,1182,1108
ANO2,30,2,7,125,83,3,2,31,73,17,7,36,274,5,5,60,58,21,7,1,11,7
ANO3,9,9,2,1,16,2,3,235,4007,8,160,25,0,0,0,56,0,3,11,2,0,11
ANO4,260,7,14,1220,56,181,4,3050,3609,4942,964,7,47,44,10,26,514,16,8,1,1,4
ANO5,1,101,46,1,1283,61,679,787,11,7,245,51,40,6,213,318,171,80,11,2,7,45
ANO6,10034,3094,4142,7199,4548,2941,1568,1813,4866,6113,5709,9915,1746,523,1914,5800,3036,1036,7673,7824,1552,4106
ANO7,48,11,38,63,103,90,26,12,225,20,51,65,15,73,6,18,58,87,44,37,10,49
ANO8,556,470,667,756,1009,706,114,170,376,1150,722,1025,133,480,144,439,316,80,633,519,325,963
ANO9,100,30,24,0,9,13,234,152,28,15,61,23,68,24,280,112,148,40,36,16,709,123
ANP32A,8366,3629,14176,16484,12728,6413,1886,7174,6678,6230,7480,8454,4145,4124,4457,8874,4435,6874,15131,11762,2152,7914
ANP32A-IT1,4,5,30,7,43,6,1,0,19,10,5,8,6,1,4,6,14,2,26,55,1,28
ANP32AP1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1
ANP32B,6428,5286,8190,8453,6346,4651,2487,6240,13763,6981,5503,11317,3963,1669,4013,7046,4866,5546,19740,15698,4343,7991
ANP32C,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
ANP32D,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ANP32E,4136,3174,6331,5070,3035,4198,1909,4009,5850,6786,6058,6132,2477,2424,4242,6142,7417,6432,6192,4633,1539,3062
ANPEP,2482,4174,404,96,543,495,640,1054,4367,347,1782,1597,157,511,123,2947,1123,424,574,204,531,115
ANTXR1,7869,2218,4307,6289,7794,2820,1129,1684,10586,2237,7243,6653,2343,1837,1246,8601,4691,604,8491,8944,3482,5266
ANTXR2,1901,794,467,614,2019,297,735,2029,2043,1078,4489,25289,361,184,904,3256,1634,202,866,315,575,1148
ANXA1,65986,7848,2289,18347,7116,7650,1973,30915,29528,19966,44380,44771,1706,1021,7963,11953,5655,834,32819,26175,65074,25797
ANXA10,0,385,0,0,17,1,0,4,0,0,0,88,0,0,0,0,0,0,1,0,7,0
ANXA11,11276,3499,3801,13342,6220,4018,2521,5483,4039,5930,4214,5648,2452,5411,3603,5278,5121,3534,9900,9028,3416,4231
ANXA13,9,125,25,9,22,6,389,2,9,17,32,6,38,6,10,30,46,5,4,5,3,11
ANXA2,64975,12012,31738,88633,67164,73326,9951,60959,73107,26366,64715,136314,33507,10150,28838,39276,28377,16314,59644,42408,56800,34215
ANXA2P1,1,1,1,5,5,3,4,4,4,3,0,2,4,0,1,1,1,0,3,10,0,1
ANXA2P2,441,70,184,608,360,336,71,381,558,145,464,963,234,61,159.95,287,162,101,439,353,308,196
ANXA2P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANXA2R,146,103,22,56,41,56,34,229,54,65,88,149,99,50,212,188,303,117,60,24,89,59
ANXA3,73,32,140,5,2974,856,43,3041,44,561,21,366,1052,15,31,188,74,26,46,8,1723,311
ANXA4,6107,4299,2415,10960,6015,8395,1693,3781,3395,3432,4894,3111,2605,1070,2804,3542,4416,2655,5784,5414,3490,2966
ANXA5,80038,21892,31251,118215,61622,29511,19388,35393,28507,30453,40008,37929,20297,8056,39255,43115,56762,33600,93442,84900,3713,30852
ANXA6,13002,3786,8944,630,5636,16597,1642,5047,7824,2224,8694,12127,4143,4020,6478,14784,8398,9587,3071,1453,1455,4063
ANXA7,5224,2543,3159,5061,5396,2218,1297,4745,3495,5799,2546,8399,2354,1218,2442,4452,3428,1119,4573,3702,4491,3528
ANXA8,0,0,0,0,0,4,0,0,2,0,0,0,1,0,0,1,2,1.27,0,2,1003.63,5.81
ANXA8L1,5.15,0,0,0,3,0,0,199.24,0,0,3,0,0,1,4,0,0,0,3,0,3355.64,23.7
ANXA8L2,30.85,17,0,0,0,0,0,364.76,0,2,0,0,0,0,0,0,0,3.73,0,0,4186.73,68.49
ANXA9,84,365,338,133,33,20,18,10,234,154,101,51,16,188,64,62,40,14,61,70,2325,50
AOAH,505,542,534,60,690,65,55,555,45,324,1003,778,490,88,695,2868,665,329,1039,490,48,1388
AOAH-IT1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AOC2,34,10,11,24,60,5,27,18,72,19,29,44,13,12,18,28,10,9,47,69,14,26
AOC3,3861.84,218.98,274.99,339,554,266.98,419.98,1291.98,743.97,501.89,563,2304.99,188.96,409,162,6414.7,866.92,551.94,1233.94,285,322.99,952.92
AOC4,6.16,125.02,1.01,0,0,3.02,2.02,1.02,2.03,3.11,0,1.01,1.04,0,0,19.3,5.08,3.06,3.06,0,2.01,3.08
AOX1,2458,18763,46,7,141,106,55,892,217,184,231,7550,49,31,133,856,114,29,300,42,349,36
AOX2P,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,1,0
AP1AR,2048,1048,1150,1956,1656,1377,760,1728,967,1574,1001,2681,1859,164,1493,1106,2238,608,1981,2386,796,1916
AP1B1,7023,2412,5716,7760,9538,3736,1970,5545,8370,4723,5004,5937,2780,7698,2525,7436,3495,2539,7496,5638,4382,4891
AP1B1P1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AP1G1,7603,3108,4506,8012,7502,3105,1809,6136,5247,5142,5124,7041,2147,560,2469,5125,2469,1587,5317,5922,3039,2808
AP1G2,835,586,810,1581,2612,591,373,1026,810,203,822,234,467,922,939,805,645,151,1372,1446,2462,448
AP1M1,5426,1467,2603,5856,3354,3591,1403,3478,3409,2336,2646,7211,2328,2735,1387,2572,2457,3256,4053,2911,1132,2402
AP1M2,7,8,1,0,0,1,0,162,2,2,1,1,6,0,2,6,7,0,1,1,1194,169
AP1S1,5328,2254,7468,4772,8603,3210,2103,5566,7655,4526,4591,4206,9776,2968,1287,3136,3019,1329,3300,2618,1840,3670
AP1S2,10521,5209,6805,15855,15284,5840,4206,13619,6942,11875,5006,6952,9889,2200,7501,9797,4688,6962,16296,16957,306,6537
AP1S3,574,224,62,786,586,402,123,99,316,984,303,398,258,97,179,255,334,57,490,442,206,126
AP2A1,5622.45,1876.27,3393.99,8604.79,4858.05,3466.88,1842.43,5632.44,6113.15,3796.24,4840.7,9015.8,2228.16,7740.53,1429.49,5091.06,2125.63,3268.57,4371.97,3371.42,2304.4,3075.58
AP2A2,3887,1153,2178,5782,4948,2573,1013,2610,3753,2408,3425,5206,1351,1225,1278,3379,1764,1265,3307,2706,1206,2834
AP2B1,25540,7576,13757,17150,11202,8676,3233,9022,12516,5870,11315,31114,4369,3722,4679,8539,7126,5660,19274,18883,2544,7424
AP2M1,14554,5831,22375,15702,16713,10264,7718,13614,19996,11739,22101,45165,10423,11630,10000,19151,9081,8902,16073,12512,7909,14433
AP2S1,4005,1984,2822,5163,3133,5915,1504,6046,4226,3746,5055,8525,2455,7153,1711,4580,2902,4005,4314,2786,3847,1786
AP3B1,4563,1511,2751,4740,4649,2641,1357,5355,4013,2914,3451,4824,2466,541,1879,3131,2724,1993,4830,4049,2115,2825
AP3B2,26,24,136,122,241,147,24,26,106,24,35,10,130,307,3,60,317,27,4,1,26,17
AP3D1,13193,4233,10059,18783,15097,7113,4388,8613,14180,6750,8693,17838,7098,10202,3767,9255,4027,4979,11195,9143,4837,10011
AP3M1,4277,1863,3730,5357,4343,1827,974,2443,2895,3371,1971,6775,2391,687,1434,2637,2400,1093,4857,4746,1154,1999
AP3M2,3455,1673,3508,2950,1795,2850,3679,4586,733,1303,1648,2428,3030,374,1256,3393,2325,1610,4541,5024,396,2366
AP3S1,4440,1504,2002,3051,2240,2072,1191,5034,2766,1798,3081,4583,3190,1087,3070,3365,3857,2637,4694,4080,1923,1957
AP3S2,3183.01,1267.87,2888.12,2837.74,4949.86,1343.67,756.83,2963.95,2020.73,1431.3,2146.16,2336.01,1304.43,1039.82,829.48,2050,623.82,1505.93,2770.66,2218.27,922.78,1581.79
AP4B1,1395.24,362.77,468.6,674.21,668.13,604.86,304.96,933.15,983.46,844.43,987.29,1901.27,808.93,221.29,592.33,853.13,895.95,387.49,655.46,686.64,623.84,537.86
AP4B1-AS1,9.76,10.23,11.4,2.79,22.87,15.14,12.04,22.85,23.54,13.57,17.71,73.73,14.07,3.71,11.67,15.87,35.05,4.51,17.54,55.36,7.16,20.14
AP4E1,1346,408,649,1025,2479,639,280,1612,783,1795,845,1264,560,232,455,965,619,207,1121,1100,876,1388
AP4M1,763.72,245.61,1406.78,476.79,781.2,1040.78,369.29,1014.88,1240.61,866.9,970.34,1014.62,859.65,553.65,311.24,819.55,887.97,675.14,438.24,480.75,341.15,666.41
AP4S1,287,262,419,341,1148,162,50,404,218,435,421,298,356,81,317,487,311,96,390,439,186,283
AP5B1,2196,1771,4705,2145,3727,303,1456,1719,1619,525,1393,899,1000,2166,1746,2014,1800,1938,2949,2756,2210,1947
AP5M1,1481,645,1159,1476,5791,624,363,1736,1158,1575,1764,1271,1150,313,1121,1571,879,455,1900,1952,887,1709
AP5S1,757,233,934,1092,745,440,238,693,945,375,643,612,581,1480,277,946,222,546,459,370,264,470
AP5Z1,2179,1309,3272,1327,2517,5142,2646,4018,2368,2504,2551,1743,4209,3624,1631,2037,3478,1761,1326,1087,1332,3467
APAF1,1139.92,819.82,1095.66,1038.57,1387.1,608.12,412.98,1010.64,1811.57,2509.46,1068.96,3371.12,790.54,145.85,743.63,1599.68,1202.72,389.01,1116.82,1161.76,340.52,1108.73
APBA1,251,198,494,186,149,274,33,121,222,39,143,1080,153,117,164,280,183,155,149,133,42,202
APBA2,144,16,3484,25,156,2857,256,65,1429,84,1041,102,490,57,75,995,279,852,45,15,74,218
APBA3,836,382,372,824,613,648,282,810,857,617,723,1049,582,806,389,505,356,293,399,357,341,589
APBB1,1605,279,1938,2143,1596,2510,606,3887,2026,1947,1500,2732,908,1637,548,1368,627,516,196,117,170,1563
APBB1IP,1052,978,622,130,1056,185,180,607,561,181,1943,3152,349,281,1061,2529,1240,539,1715,852,118,819
APBB2,2423,694,1211,1972,1490,1155,718,2512,1185,573,1761,7114,607,213,474,2781,1969,491,1147,997,759,1011
APBB3,378,429,488,233,273,409,105,619,441,328,611,540,524,205,243,491,408,927,405,512,440,482
APC,4195,942,1945,2287,3096,1879,1202,3108,2620,1850,1635,2590,1027,100,1167,2394,2114,680,3708,4762,790,2855
APC2,536,15,31,101,14,21,5,2,994,50,44,37,5,126,5,21,33,78,169,91,8,65
APCDD1,455,58,818,63,176,69212,45,852,1301,373,460,913,78,4409,123,433,828,773,482,327,1424,192
APCDD1L,33,0,4,0,13,36,8,18,282,246,259,13028,4,3,2,96,27,7,3,10,6,3
APCDD1L-AS1,6,0,2,7,1,6,2,16,6,58,78,3544,4,1,1,5,1,7,5,4,3,1
APCS,0,17800,0,1,1,2,0,27,0,3,0,0,0,0,1,5,0,0,0,1,263,0
APEH,6168,2758,7101,9253,8423,3473,1834,7390,5604,3084,4462,3773,7762,9706,2375,3274,3765,2450,4351,3472,3574,5980
APEX1,5716,5771,13796,7226,17210,3859,1403,8828,5760,7682,7373,9669,6135,1966,4115,8766,3161,4860,8124,7335,3616,6868
APEX2,1828,612,1383,2129,2438,1046,497,1423,1143,1398,975,3651,560,1357,680,1080,1184,1222,1159,810,1311,1074
APH1A,10602,7476,13772,10878,8298,7301,3602,5866,7503,5816,8494,7379,8633,13621,6982,8446,8748,11038,10077,9415,4723,7899
APH1B,2331,855,1915,1266,4316,635,477,2853,614,1603,1212,1362,843,455,859,1625,565,813,357,469,145,1219
API5,6152,2204,5850,7323,6611,6854,1969,4586,5566,3105,4548,11879,3194,701,2747,5363,3074,2111,9117,9016,3294,3821
APIP,1001.62,460.62,327.01,1257.89,1696.21,1555.93,297.17,966.71,1150.89,413,1018.98,2662.43,715.58,274.62,737.96,1179.52,693.37,336,857.1,777.06,402.16,692.2
APITD1,620.93,216.2,457.14,439.72,449.01,446.15,271.87,921.45,609.36,632.52,768.5,1093.13,251.61,94.23,122.21,639.23,660.45,300.7,413.39,226.55,236.75,410.41
APITD1-CORT,55.42,25.8,31.93,42.28,71.99,54.92,16.69,87.18,19.1,88.56,71.79,73.18,7.39,17.77,10.12,32.92,31.26,62.01,49.81,23.09,27.26,16.84
